iter	Passed	Remaining
0	172	172621
1	173	86490
2	173	57781
3	174	43413
4	174	34789
5	175	29036
6	175	24926
7	176	21913
8	178	19605
9	179	17758
10	180	16227
11	181	14951
12	182	13891
13	184	12964
14	184	12145
15	185	11435
16	186	10805
17	187	10244
18	188	9744
19	189	9285
20	190	8868
21	190	8488
22	191	8141
23	192	7822
24	193	7530
25	193	7254
26	194	6999
27	194	6761
28	195	6539
29	195	6333
30	196	6140
31	197	5963
32	197	5793
33	198	5630
34	198	5475
35	199	5330
36	199	5195
37	200	5067
38	200	4947
39	201	4836
40	202	4726
41	202	4622
42	203	4524
43	204	4434
44	204	4346
45	205	4259
46	205	4176
47	206	4096
48	207	4019
49	207	3945
50	208	3873
51	208	3806
52	209	3740
53	209	3676
54	210	3616
55	211	3556
56	211	3500
57	212	3449
58	213	3397
59	213	3346
60	214	3297
61	214	3250
62	215	3202
63	215	3156
64	216	3111
65	216	3069
66	217	3034
67	218	2997
68	219	2959
69	220	2926
70	220	2890
71	221	2854
72	222	2820
73	222	2786
74	223	2753
75	223	2720
76	224	2689
77	224	2657
78	225	2627
79	225	2598
80	226	2569
81	227	2543
82	227	2514
83	228	2489
84	228	2464
85	229	2438
86	229	2413
87	230	2388
88	231	2364
89	231	2341
90	232	2317
91	232	2296
92	233	2277
93	234	2256
94	234	2235
95	235	2214
96	235	2193
97	236	2173
98	236	2153
99	237	2134
100	237	2115
101	238	2099
102	239	2081
103	239	2063
104	240	2046
105	240	2028
106	241	2011
107	242	1998
108	242	1985
109	243	1969
110	244	1954
111	244	1939
112	245	1925
113	245	1910
114	246	1896
115	246	1882
116	247	1867
117	248	1853
118	248	1840
119	249	1826
120	249	1814
121	250	1801
122	250	1788
123	251	1775
124	251	1762
125	252	1749
126	252	1736
127	253	1724
128	253	1712
129	254	1700
130	254	1688
131	255	1677
132	255	1666
133	256	1655
134	257	1647
135	257	1637
136	258	1627
137	258	1617
138	259	1606
139	259	1596
140	260	1586
141	260	1575
142	261	1565
143	261	1555
144	262	1546
145	262	1537
146	263	1527
147	263	1518
148	264	1509
149	264	1500
150	265	1492
151	266	1484
152	266	1476
153	267	1467
154	267	1459
155	268	1452
156	268	1444
157	269	1437
158	270	1429
159	270	1421
160	271	1412
161	271	1405
162	272	1398
163	272	1391
164	273	1383
165	273	1376
166	274	1368
167	274	1361
168	275	1353
169	275	1346
170	276	1339
171	276	1332
172	277	1325
173	277	1318
174	278	1311
175	278	1304
176	279	1297
177	279	1290
178	279	1284
179	280	1277
180	280	1271
181	281	1264
182	281	1258
183	282	1252
184	282	1246
185	283	1239
186	283	1234
187	284	1228
188	284	1222
189	285	1216
190	285	1210
191	286	1204
192	287	1200
193	287	1195
194	288	1189
195	288	1184
196	289	1178
197	289	1173
198	290	1167
199	290	1162
200	291	1156
201	291	1151
202	292	1146
203	292	1141
204	293	1136
205	293	1131
206	293	1126
207	294	1121
208	294	1116
209	295	1111
210	295	1106
211	296	1102
212	296	1097
213	297	1092
214	298	1088
215	298	1084
216	299	1079
217	299	1075
218	300	1070
219	300	1066
220	301	1061
221	301	1057
222	302	1054
223	303	1050
224	303	1046
225	304	1042
226	304	1038
227	305	1033
228	305	1029
229	306	1025
230	306	1021
231	307	1017
232	307	1013
233	308	1009
234	308	1005
235	309	1001
236	309	997
237	310	993
238	310	989
239	311	986
240	311	982
241	312	979
242	313	975
243	313	971
244	314	967
245	314	964
246	315	960
247	315	956
248	315	953
249	316	950
250	317	946
251	317	943
